Epoch,loss,Accuracy,AUC,macro_f1,mic_f1,fake_f1,fake_precision,fake_recall,true_f1,true_precision,true_recall
0,0.5895456863661944,0.8995535714285714,0.9495078299776286,0.8895215339847324,0.8995535714285714,0.8562300319488818,0.8220858895705522,0.8933333333333333,0.9228130360205832,0.9438596491228071,0.9026845637583892
1,0.5121026766502251,0.8705357142857143,0.9728748979406696,0.861904761904762,0.8705357142857143,0.8273809523809523,0.7315789473684211,0.952054794520548,0.8964285714285715,0.9728682170542635,0.8311258278145696
2,0.4726678880594544,0.9285714285714286,0.9737807606263982,0.920083840613642,0.9285714285714286,0.8940397350993378,0.8881578947368421,0.9,0.9461279461279462,0.9493243243243243,0.9429530201342282
3,0.4497799630892479,0.9107142857142857,0.9792933940876749,0.9042980432367769,0.9107142857142857,0.8795180722891566,0.7978142076502732,0.9798657718120806,0.9290780141843972,0.9886792452830189,0.8762541806020067
4,0.43927351094908634,0.9397321428571429,0.9696906692540485,0.9282830259155832,0.9397321428571429,0.8996282527881041,0.9453125,0.8581560283687943,0.9569377990430622,0.9375,0.9771986970684039
5,0.42966616355766685,0.9330357142857143,0.9786991208443511,0.9243243243243243,0.9330357142857143,0.8986486486486487,0.8926174496644296,0.9047619047619048,0.95,0.9531772575250836,0.946843853820598
6,0.42599707134699416,0.9375,0.9634194053208138,0.926397070903842,0.9375,0.8978102189781022,0.9318181818181818,0.8661971830985915,0.954983922829582,0.939873417721519,0.9705882352941176
7,0.41786491264731196,0.9308035714285714,0.9700103175513011,0.917658289014188,0.9308035714285714,0.8847583643122676,0.9444444444444444,0.8321678321678322,0.9505582137161085,0.9254658385093167,0.9770491803278688
8,0.4093547756389036,0.9441964285714286,0.972867142560122,0.9359205414714247,0.9441964285714286,0.9128919860627178,0.8972602739726028,0.9290780141843972,0.9589490968801314,0.9668874172185431,0.9511400651465798
9,0.40760816153833423,0.9397321428571429,0.9691891891891892,0.9310466700489674,0.9397321428571429,0.9065743944636678,0.9290780141843972,0.8851351351351351,0.9555189456342669,0.9446254071661238,0.9666666666666667
10,0.40742699574616,0.9330357142857143,0.9701320358187134,0.9232456140350878,0.9330357142857143,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.9506578947368421,0.9506578947368421,0.9506578947368421
11,0.40175370038565944,0.9330357142857143,0.9687725225225226,0.92406264831514,0.9330357142857143,0.8979591836734694,0.9041095890410958,0.8918918918918919,0.9501661129568106,0.9470198675496688,0.9533333333333334
12,0.39607613773669226,0.9330357142857143,0.9711486486486485,0.9248322147651007,0.9330357142857143,0.9,0.8881578947368421,0.9121621621621622,0.9496644295302014,0.956081081081081,0.9433333333333334
13,0.3925794181177172,0.9330357142857143,0.9697409909909909,0.9250786005752893,0.9330357142857143,0.9006622516556292,0.8831168831168831,0.918918918918919,0.9494949494949495,0.9591836734693877,0.94
